County,Jurisdiction (NCIC),BCS number,Victim Number,Month of Report,Year of Report,Total Victim,Total Suspects,Gender,Race/Ethnicity,Age,Crime Status,Victim/Offender Relationship #1,Victim/Offender Relationship #2,Victim/Offender Relationship #3,Victim/Offender Relationship #4,Month of Incident,Day of month of Incident,Year of Incident,Day of week,Year of Death,Means of death,Location,Precipitating Event,Special Circumstance
01,0109,66750,01,12,1987,01,01,1,2,20,4,40,,,,12,22,1987,3,1987,02,16,91,000
07,0700,64739,01,04,1987,01,01,1,1,44,4,40,,,,04,02,1987,5,1987,02,02,92,000
10,1005,65765,01,08,1987,01,01,1,2,39,4,40,,,,07,10,1987,6,1987,02,16,90,000
15,1500,64249,01,02,1987,01,01,1,1,33,4,40,,,,01,31,1987,7,1987,02,02,90,000
15,1500,64999,01,05,1987,01,01,1,3,36,4,40,,,,05,07,1987,5,1987,03,22,92,000
15,1500,65510,01,07,1987,01,01,1,1,22,4,40,,,,07,06,1987,2,1987,02,16,90,000
19,1900,64258,01,02,1987,01,01,1,1,34,4,40,,,,02,22,1987,1,1987,02,06,90,000
19,1900,64765,01,04,1987,01,01,1,1,36,4,40,,,,04,16,1987,5,1987,02,16,90,000
19,1900,64772,01,04,1987,01,01,1,2,40,4,40,,,,04,19,1987,1,1987,02,16,90,000
19,1900,65008,01,05,1987,01,01,1,2,20,4,40,,,,05,19,1987,3,1987,02,13,94,000
19,1900,65014,01,05,1987,01,01,1,2,27,4,40,,,,05,11,1987,2,1987,02,16,90,000
19,1900,65783,01,08,1987,01,01,1,1,41,4,40,,,,08,28,1987,6,1987,02,02,90,000
19,1900,65784,01,08,1987,01,01,2,1,30,4,40,,,,08,30,1987,1,1987,02,99,90,000
19,1900,66290,01,10,1987,01,01,1,2,38,4,40,,,,10,14,1987,4,1987,02,16,90,000
19,1900,66544,01,11,1987,01,01,1,1,21,4,40,,,,11,17,1987,3,1987,02,13,91,000
19,1900,66775,01,12,1987,01,01,1,2,22,4,40,,,,12,18,1987,6,1987,02,16,94,000
19,1906,66019,01,05,1987,01,01,1,2,38,4,40,,,,05,18,1987,2,1987,02,16,90,000
19,1909,64270,01,02,1987,01,01,1,2,20,4,40,,,,02,26,1987,5,1987,02,16,90,000
19,1918,64788,01,04,1987,01,01,1,1,19,4,40,,,,04,09,1987,5,1987,02,16,90,000
19,1928,65278,01,06,1987,01,01,1,3,45,4,40,,,,06,15,1987,2,1987,02,06,90,000
19,1933,64792,01,04,1987,01,01,1,3,24,4,40,,,,04,30,1987,6,1987,02,16,94,000
19,1933,65546,01,07,1987,01,01,1,3,34,4,40,,,,07,01,1987,4,1987,02,16,90,000
19,1941,64527,01,03,1987,01,01,1,1,34,4,40,,,,03,26,1987,5,1987,02,16,90,000
19,1942,64128,01,01,1987,01,02,1,1,55,4,40,40,,,01,15,1987,5,1987,02,02,90,000
19,1942,64130,01,01,1987,01,02,1,2,35,4,40,40,,,01,09,1987,6,1987,02,02,95,000
19,1942,64355,01,02,1987,01,01,1,3,29,4,40,,,,02,24,1987,3,1987,02,16,95,000
19,1942,64358,01,02,1987,01,02,1,1,64,4,40,40,,,02,04,1987,4,1987,02,02,90,000
19,1942,64359,01,02,1987,01,02,1,1,34,4,40,40,,,02,11,1987,4,1987,02,06,90,000
19,1942,64360,01,02,1987,01,01,1,1,71,4,40,,,,02,26,1987,5,1987,04,02,95,000
19,1942,64599,01,03,1987,01,02,1,3,30,4,40,,,,03,21,1987,7,1987,02,16,90,000
19,1942,64877,01,04,1987,01,02,1,2,26,4,40,,,,04,14,1987,3,1987,04,16,95,000
19,1942,64878,01,04,1987,01,02,1,3,50,4,40,,,,04,10,1987,6,1987,02,16,90,000
19,1942,65109,01,05,1987,01,01,1,3,36,4,40,,,,05,03,1987,1,1987,04,16,90,000
19,1942,65352,01,06,1987,01,01,1,1,39,4,40,,,,06,10,1987,4,1987,02,06,94,000
19,1942,65613,01,07,1987,01,01,1,3,30,4,40,,,,07,17,1987,6,1987,02,16,92,000
19,1942,65880,01,08,1987,01,01,1,3,26,4,40,,,,08,18,1987,3,1987,02,16,90,000
19,1942,66140,01,09,1987,01,01,1,2,23,4,40,,,,09,02,1987,3,1987,02,02,94,000
19,1942,66376,01,10,1987,01,01,1,3,38,4,40,,,,10,12,1987,1,1987,02,16,90,000
19,1942,66379,01,10,1987,01,01,1,1,27,4,40,,,,10,15,1987,5,1987,02,13,94,000
19,1942,66880,01,12,1987,01,01,1,1,46,4,40,,,,12,02,1987,4,1987,02,02,90,000
19,1942,66882,01,12,1987,01,01,1,2,47,4,40,,,,12,03,1987,5,1987,02,16,95,000
19,1942,66883,01,12,1987,01,01,1,1,22,4,40,,,,12,00,1987,,1987,02,16,95,000
19,1942,66885,01,12,1987,01,01,1,3,27,4,40,,,,11,17,1987,3,1987,02,16,94,000
19,1943,64879,01,04,1987,01,01,1,2,27,4,40,,,,04,26,1987,1,1987,02,16,90,000
19,1953,66147,01,09,1987,01,01,1,1,37,4,40,,,,09,27,1987,1,1987,02,02,92,000
19,1954,64368,01,02,1987,01,01,1,2,25,4,40,,,,02,02,1987,2,1987,02,99,90,000
19,1954,64603,01,03,1987,01,01,1,2,28,4,40,,,,03,09,1987,2,1987,02,16,90,000
19,1969,65621,01,07,1987,01,01,1,2,38,4,40,,,,07,24,1987,1,1987,02,16,90,000
