ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11589286,JC141019,10/05/2018 04:45:00 AM,021XX S MARSHALL BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,1022,010,24,30,04A,,,2018,02/08/2019 04:14:17 PM,,,
11486092,JB426129,09/07/2018 11:34:09 AM,092XX S EMERALD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,false,true,2223,022,21,73,15,,,2018,04/02/2019 04:10:50 PM,,,
11669735,JC241819,10/31/2018 05:30:00 PM,092XX S KIMBARK AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,true,0413,004,8,47,04A,,,2018,04/29/2019 04:18:19 PM,,,
11473092,JB470779,10/10/2018 08:37:00 PM,076XX S MAY ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,0612,006,17,71,04A,1169975,1854156,2018,06/03/2019 04:14:23 PM,41.755297327,-87.652653887,"(41.755297327, -87.652653887)"
11492590,JB496541,10/30/2018 04:59:00 PM,040XX W 30TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,true,false,1031,010,22,30,04B,1149760,1884400,2018,06/04/2019 04:01:14 PM,41.838706452,-87.72595418,"(41.838706452, -87.72595418)"
11465205,JB460368,10/03/2018 12:35:00 AM,021XX W WASHINGTON BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1223,012,27,28,04A,1162210,1900667,2018,06/05/2019 04:10:34 PM,41.883093993,-87.679814278,"(41.883093993, -87.679814278)"
11489919,JB493082,10/27/2018 10:30:00 PM,015XX W 77TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,true,true,0612,006,17,71,04A,1167270,1853664,2018,06/05/2019 04:10:34 PM,41.754005513,-87.662581071,"(41.754005513, -87.662581071)"
11403350,JB379731,08/05/2018 12:23:00 AM,041XX W CULLERTON ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,true,false,1012,010,24,29,04B,1149005,1890097,2018,06/15/2019 03:57:58 PM,41.85435437,-87.728577473,"(41.85435437, -87.728577473)"
11581800,JB432302,09/12/2018 11:14:21 AM,009XX S HOMAN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1134,011,24,29,04A,,,2018,06/27/2019 04:09:07 PM,,,
11784253,JC380500,08/06/2019 01:26:00 AM,053XX S MORGAN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,0934,009,20,61,15,1170560,1869154,2019,08/13/2019 04:18:46 PM,41.796440923,-87.650073324,"(41.796440923, -87.650073324)"
11784673,JC380593,08/06/2019 06:25:00 AM,088XX S JEFFERY BLVD,031A,ROBBERY,ARMED: HANDGUN,PARK PROPERTY,false,false,0412,004,8,48,03,1191048,1846854,2019,08/13/2019 04:18:46 PM,41.734776506,-87.575663445,"(41.734776506, -87.575663445)"
11784424,JC380705,08/06/2019 08:13:00 AM,099XX S STATE ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,false,false,0511,005,9,49,15,1178012,1839088,2019,08/13/2019 04:18:46 PM,41.713770588,-87.623655857,"(41.713770588, -87.623655857)"
11784597,JC380856,08/06/2019 10:20:00 AM,015XX W 90TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,2221,022,21,73,04A,1167445,1845043,2019,08/13/2019 04:18:46 PM,41.730344508,-87.662186153,"(41.730344508, -87.662186153)"
11784264,JC380537,08/06/2019 03:50:00 AM,035XX W 74TH ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,ALLEY,false,false,0835,008,17,66,15,1154007,1855307,2019,08/13/2019 04:18:46 PM,41.758787644,-87.711142388,"(41.758787644, -87.711142388)"
11784801,JC380981,08/06/2019 12:18:00 PM,042XX S WELLS ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0925,009,3,37,04B,1175322,1876827,2019,08/13/2019 04:18:46 PM,41.817391174,-87.632381266,"(41.817391174, -87.632381266)"
11784443,JC380718,08/06/2019 08:44:00 AM,002XX E 35TH ST,5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,STREET,true,false,0212,002,3,35,26,1178293,1881834,2019,08/13/2019 04:18:46 PM,41.831063762,-87.621330678,"(41.831063762, -87.621330678)"
11785417,JC381870,08/06/2019 11:20:00 PM,115XX S STATE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0522,005,34,53,04A,1178310,1828616,2019,08/13/2019 04:18:46 PM,41.685027199,-87.622880843,"(41.685027199, -87.622880843)"
11785449,JC381857,08/06/2019 10:34:00 PM,025XX N MAJOR AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,2515,025,30,19,15,1137950,1916402,2019,08/13/2019 04:18:46 PM,41.92674513,-87.768518857,"(41.92674513, -87.768518857)"
11785501,JC381907,08/06/2019 11:45:00 PM,007XX W 103RD ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2232,022,34,73,03,1173376,1836563,2019,08/13/2019 04:18:46 PM,41.706945222,-87.640708959,"(41.706945222, -87.640708959)"
11785303,JC381703,08/06/2019 08:42:00 PM,001XX N KILPATRICK AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,1113,011,28,25,15,1145035,1900286,2019,08/13/2019 04:18:46 PM,41.882390068,-87.742891918,"(41.882390068, -87.742891918)"
11784734,JC380565,08/06/2019 05:13:00 AM,019XX W MAYPOLE AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,1223,012,27,28,03,1163538,1901045,2019,08/13/2019 04:18:46 PM,41.884103402,-87.67492715,"(41.884103402, -87.67492715)"
11784548,JC380653,08/06/2019 03:30:00 AM,002XX S KENTON AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1113,011,28,25,03,1145691,1898699,2019,08/13/2019 04:18:46 PM,41.878022742,-87.740523304,"(41.878022742, -87.740523304)"
11784218,JC380451,08/06/2019 12:11:00 AM,080XX S UNION AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,false,false,0621,006,21,71,15,1173031,1851572,2019,08/13/2019 04:18:46 PM,41.748139607,-87.641530614,"(41.748139607, -87.641530614)"
11784619,JC380949,08/06/2019 11:45:00 AM,076XX S EXCHANGE AVE,031A,ROBBERY,ARMED: HANDGUN,VACANT LOT/LAND,false,false,0421,004,7,43,03,1195924,1854825,2019,08/13/2019 04:18:46 PM,41.756530374,-87.557536955,"(41.756530374, -87.557536955)"
11785486,JC381886,08/06/2019 11:30:00 PM,0000X N MASON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,1513,015,29,25,04A,1136773,1899652,2019,08/13/2019 04:18:46 PM,41.880802263,-87.773245737,"(41.880802263, -87.773245737)"
11784294,JC380490,08/06/2019 01:35:00 AM,055XX S HYDE PARK BLVD,031A,ROBBERY,ARMED: HANDGUN,APARTMENT,false,false,0235,002,5,41,03,1188601,1868603,2019,08/13/2019 04:18:46 PM,41.794516399,-87.583933877,"(41.794516399, -87.583933877)"
11785416,JC381791,08/06/2019 10:57:00 PM,063XX S CHAMPLAIN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0312,003,20,42,15,1181655,1863214,2019,08/13/2019 04:18:46 PM,41.779891828,-87.609570721,"(41.779891828, -87.609570721)"
11784987,JC381161,08/06/2019 02:22:00 PM,020XX W 78TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0611,006,18,71,04B,1163942,1852920,2019,08/13/2019 04:18:46 PM,41.752034421,-87.674797985,"(41.752034421, -87.674797985)"
11785344,JC381812,08/06/2019 10:10:00 PM,079XX S DREXEL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,false,false,0624,006,8,44,15,1183607,1852643,2019,08/13/2019 04:18:46 PM,41.750838669,-87.602743669,"(41.750838669, -87.602743669)"
11784836,JC381214,08/06/2019 03:00:00 PM,011XX S HOMAN AVE,5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,VEHICLE NON-COMMERCIAL,true,false,1134,011,24,29,26,1153879,1894749,2019,08/13/2019 04:18:46 PM,41.867024391,-87.710563936,"(41.867024391, -87.710563936)"
11785309,JC381740,08/06/2019 08:50:00 PM,017XX W DEVON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,2432,024,40,1,04A,1163959,1942572,2019,08/13/2019 04:18:46 PM,41.998046853,-87.672205101,"(41.998046853, -87.672205101)"
11784974,JC381424,08/06/2019 05:10:00 PM,064XX S MARSHFIELD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0725,007,15,67,04A,1166432,1861981,2019,08/13/2019 04:18:46 PM,41.776846363,-87.665415392,"(41.776846363, -87.665415392)"
11785375,JC381695,08/06/2019 08:45:00 PM,083XX S ESSEX AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0423,004,7,46,04B,1194288,1850224,2019,08/13/2019 04:18:46 PM,41.74394519,-87.563683289,"(41.74394519, -87.563683289)"
11784805,JC380938,08/06/2019 11:30:00 AM,014XX E 71ST PL,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,0324,003,8,43,04A,1187056,1857875,2019,08/13/2019 04:18:46 PM,41.765114703,-87.589939354,"(41.765114703, -87.589939354)"
