last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Brown,Sherrod,,,,Sherrod Brown,1952-11-09,M,sen,OH,,1,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,00136,N00003535,S307,"H2OH13033,S6OH00163",5051,400050,27018,Sherrod Brown,,29389,Sherrod Brown
Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,01010,N00000528,S313,"H8VT01016,S4VT00033",994,400357,27110,Bernie Sanders,,29147,Bernie Sanders
Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,01541,N00000491,S252,S6ME00159,45738,300025,379,Susan Collins,,49703,Susan Collins
Harris,Andy,,,,Andy Harris,1957-01-25,M,rep,MD,1,,Republican,https://harris.house.gov,2334 Rayburn House Office Building Washington DC 20515-2001,202-225-5311,,http://harris.house.gov/rss.xml,RepAndyHarrisMD,AndyHarrisMD,RepAndyHarris,UCvUuV7FiJfJi1yux4qozgMg,H001052,02026,N00029147,,H8MD01094,1033464,412434,19157,,,21139,Andy Harris (politician)
Wasserman Schultz,Debbie,,,,Debbie Wasserman Schultz,1966-09-27,F,rep,FL,23,,Democrat,https://wassermanschultz.house.gov,1114 Longworth House Office Building Washington DC 20515-0923,202-225-7931,,http://wassermanschultz.house.gov/atom.xml,RepDWStweets,RepDWS,RepWassermanSchultz,UCfHQiJVvMlYbVAxrMSLdO4w,W000797,01777,N00026106,,H4FL20023,86882,400623,24301,Debbie Wasserman Schultz,,20504,Debbie Wasserman Schultz
Brownley,Julia,,,,Julia Brownley,1952-08-28,F,rep,CA,26,,Democrat,https://juliabrownley.house.gov,2262 Rayburn House Office Building Washington DC 20515-0526,202-225-5811,,http://juliabrownley.house.gov/rss.xml,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,UCFrC4Ouk5R6xQztS9PZin_A,B001285,02106,N00034254,,H2CA00120,79783,412516,59904,Julia Brownley,,21308,Julia Brownley
Cárdenas,Tony,,,,Tony Cárdenas,1963-03-31,M,rep,CA,29,,Democrat,https://cardenas.house.gov,2438 Rayburn House Office Building Washington DC 20515-0529,202-225-6131,,http://cardenas.house.gov/rss.xml,RepCardenas,repcardenas,repcardenas,UCm6ug1-yvYGL0F6DvYxfFBA,C001097,02107,N00033373,,H2CA28113,63934,412517,9754,Tony Cardenas,,21309,Tony Cárdenas
Collins,Doug,,,,Doug Collins,1966-08-16,M,rep,GA,9,,Republican,https://dougcollins.house.gov,1504 Longworth House Office Building Washington DC 20515-1009,202-225-9893,,http://dougcollins.house.gov/latest-rss/latest-rss/,RepDougCollins,RepresentativeDougCollins,repdougcollins,UCgKTZXOJX2UwAdLNZ4MQdig,C001093,02121,N00033518,,H2GA09150,79719,412531,67851,Doug Collins,,21323,Doug Collins (politician)
LaHood,Darin,,,,Darin LaHood,1968-07-05,M,rep,IL,18,,Republican,https://lahood.house.gov,1424 Longworth House Office Building Washington DC 20515-1318,202-225-6201,,,RepLaHood,replahood,,UCVRbtFwaBGcixZIkygtalRw,L000585,02295,N00037031,,H6IL18088,70020,412674,128760,Darin LaHood,,21562,Darin LaHood
Harris,Kamala,,,,Kamala D. Harris,1964-10-20,F,sen,CA,,3,Democrat,https://www.harris.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,https://www.harris.senate.gov/contact,,SenKamalaHarris,SenatorKamalaHarris,,UCe1ciA1TDa5F9K6Ufr_6Fsw,H001075,,N00036915,S387,S6CA00584,1018696,412678,120012,Kamala Harris,,41701,Kamala Harris
Brown,Anthony,,,,Anthony G. Brown,1961-11-21,M,rep,MD,4,,Democrat,https://anthonybrown.house.gov,1323 Longworth House Office Building Washington DC 20515-2004,202-225-8699,,,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,,B001304,,N00036999,,H6MD04209,1029537,412707,19344,,,21707,Anthony G. Brown
Tlaib,Rashida,,,,Rashida Tlaib,1976-07-24,F,rep,MI,13,,Democrat,https://tlaib.house.gov,1628 Longworth House Office Building Washington DC 20515-2213,202-225-5126,,,RepRashida,,,,T000481,,N00042649,,H8MI13250,,412787,105368,,,21975,Rashida Tlaib
Riggleman,Denver,,,,Denver Riggleman,1970-03-01,M,rep,VA,5,,Republican,https://riggleman.house.gov,1022 Longworth House Office Building Washington DC 20515-4605,202-225-4711,,,RepRiggleman,,,,R000611,,N00043541,,H8VA05171,,412831,181445,,,21957,Denver Riggleman
